अंकन,ankan
अंगकोर,angkor
अंगिरा,angira
अंगीठी,angithi
अंग्रेज,angrej
अंग्रेजों,angrejo
अंजाम,anjam
अंतकरण,antkaran
अंतरालों,antralon
अंतर्कलह,antkalah
अंधेर,andher
अंधेरा,andhera
अंधेरे,andhere
अंबर,umber
अंबरनाथ,ambarnath
अंहकार,anhkar
अकाश,akash
अकीला,akila
अकुंश,ankush
अक्षरशः,asharsha
अखंडानंद,akhandanand
अखबार,akhbar
अखबारी,akhbari
अखबारो,akhbaro
अखबारों,akhbaron
अख़्तर,akhtar
अगर,agar
अगस्त,august
अग्निवेश,agnivesh
अग्रता,agrata
अग्ली,ugly
अच्युतानंद,achyutanand
अजा,aja
अटक,atak
अटका,atka
अटकाव,atkav
अटकी,atki
अटेंशन,attention
अतर्रा,artra
अदबी,adbi
अदिती,aditi
अधिकत,adhikat
अधिकांशत,adhikanshta
अधिकाश,adhikash
अधिमास,adhimas
अनकही,ankahi
अनके,anke
अनरसा,unrasa
अनसीन,unseen
अनसुने,unsune
अनसेंसर्ड,uncensored
अनादरण,anadarana
अनीति,aniti
अनुकूल,anukul
अनुकूलित,anukulit
अनुप्रयोग,anuprayog
अनुभवहीन,anubhavhin
अनुवाद,anuvad
अनुवादित,anuvadit
अनुसरण,anusaran
अनुसूया,anusuya
अन्यत्र,anyatra
अन्यायी,anyayi
अपनाना,apnana
अपमिश्रण,apmishran
अपारंपरिक,apaaramparik
अप्रूवर,approver
अफसोस,afsos
अबाधित,abadhith
अबुल,abul
अब्बास,abbas
अभिनत्री,abhintri
अमीषा,amisha
अमूल,amul
अमोद,amodh
अम्मू,anmum
अरंडी,arndi
अरसे,arse
अरस्तू,arstu
अरामको,aramko
अरासु,arasu
अरुण,arun
अर्जुन,arjun
अर्थतंत्र,arthtantra
अर्थदंड,arthdand
अर्थनीति,arthniti
अर्थव्यवस्थाएं,arthvyvasthayen
अर्थिंग,earthing
अर्थी,arthi
अर्नोल्ड,arnold
अलकायदा,alqaeda
अलगाव,algav
अलगाववाद,algavwaad
अलगू,algu
अलास्का,alaska
अलीम,alim
अवध,avadh
अवधियां,avdhiya
अवधियों,avdhiyon
अवरोही,avrohi
अवर्ण,avran
अवश्यकता,avshykata
अवश्यमेव,avshymev
अवास्तविक,avastavik
अवीव,aviv
अव्यावहारिक,avyavharik
अशक्त,ashkt
अशासकीय,ashaskiye
अशोक,ashok
अशोका,ashoka
असंख्य,asankhy
असंगत,asangat
असमानताएं,asmantayen
असर,asar
असैनिक,asainik
अस्पृश्यता,asprishyta
अहमियत,ahmiyat
अहितकर,ahitkar
आंनद,anand
आंसर,answer
आइटमों,itemon
आइना,aaina
आईआरबी,irb
आईईईई,ieee
आईएएस,ias
आईओसी,ioc
आउटलेट,outlet
आऊ,ou
आओ,aao
आकाशीय,aakashiy
आगजनी,aagjani
आगणन,aagman
आगरकर,agarkar
आचमन,aachman
आजादनगर,azadnagar
आडंबर,adambar
आडंबरों,adambaron
आदत,aadat
आदतन,aadatan
आदतें,aadtein
आदतों,aadton
आदर,aadar
आधिपत्य,adhipatya
आधी,adhi
आधुनिकता,aadhuniktaa
आधुनिकीकरण,adhunikikaran
आनंदिता,aanandita
आपे,aape
आप्शन,option
आफ़,off
आभारी,abhari
आमादा,amadaa
आयकर,aaykar
आयुष,aayush
आयोजिक,ayojik
आरई,re
आर्च,arch
आर्चर,archer
आर्यन,aryan
आर्या,arya
आल,all
आलिशान,aalishan
आवंटित,avantit
आविष्कारों,avishkaron
आशंकाओं,ashankaon
आशीर्वचन,ashirvachan
आशुरा,ashura
आश्चर्यजनक,ascharyajanak
आश्रित,aashrit
आसमा,asma
आसानी,asani
इंटरपोल,interpol
इंट्रा,intra
इंडस्ट्रीयल,industrial
इंडिपेंडेंट,independent
इंडिपेंडेंस,independence
इंडी,indi
इंदू,indu
इंफ्लूएंजा,influenza
इकट्ठी,ikatthi
इकबाल,iqbal
इकबालिया,ikbaliya
इकॉनमी,economy
इको,iko
इकोनोमिक्स,economics
इख्तियार,ikhtiyar
इजिप्ट,ijisht
इट,it
इट्स,its
इठलाती,ithlaati
इतालवी,italavi
इतिहासविद,itihaasvid
इनलोगों,inlogon
इनसाइट,insite
इनसाइट्स,insites
इनसेट,inset
इनु,inu
इन्फेंट्री,infantry
इन्वेस्टिगेशन,investigation
इमर्जिंग,emerging
इमेज,image
इमेजर,imager
इरीट्रिया,iritriya
इलाकों,ilako
इलाजों,ilajon
इशा,isha
इसरार,israr
ईईएसएल,iisl
ईको,eco
ईसबगोल,isbagol
ईस्वी,isvi
उकसाया,uksaya
उखाड़ना,ukhadna
उगती,ugti
उगाना,ugana
उगाही,ugahi
उछलने,uchlane
उजड़ने,ujadne
उठे,uthe
उड़िसा,udisa
उड़ेलते,udeylatey
उतराई,utrayi
उत्सुक,utsuk
उदयराज,udayraj
उद्घोष,udghosh
उद्देश्यपरक,uddeshyparak
उधम,udham
उन्नीस,unnis
उपकरण,upkaran
उपकरणों,upakarno
उपखंड,upkhand
उपदेशकों,updeshakon
उपद्रव,updrav
उपन्यासकार,upanyasakar
उपभोक्ताओं,upbhoktaon
उपभोक्तावाद,upbhoktawad
उपभोक्तावादी,upbhoktawadi
उपमन्यु,upmanyu
उपमुख्यमंत्री,upmukhymantri
उपलब्धता,uplabdhta
उपलब्धि,upalabdhi
उपलब्धियां,uplabdiyan
उपलव्ध,uplabdha
उपवेद,upved
उपस्थित,upasthit
उप्पल,uppal
उभार,ubhar
उभारों,ubharon
उमस,umas
उर्वरक,urvarak
उर्वरकता,urwarkata
उर्वरा,urvara
उलझाने,uljane
उलट,ulat
उलटी,ulti
उल्टी,ulti
उल्टे,ulte
उल्लेख,ullekh
उल्लेखित,ullekhit
ऊर्फ,urfa
ऋ,ru
ऋतुराज,ruturaj
ऋर्षि,rushi
ऋषभ,rushabh
एंजाइम्स,enzymes
एंटेना,antenna
एंटोनिया,antoniya
एंडरसन,anderson
एआरसी,arc
एएमएल,aml
एएमजी,amg
एकरमैन,eckerman
एकात्मकता,ekatmkata
एक्ज़िट,exit
एक्जीक्यूटिव,exhicutive
एक्सल,excel
एचईसी,hic
एट्रेसिया,etrisia
एड,ed
एडन,aiden
एडिडास,adidas
एडॉल्फ,adolf
एडोल्फ,adolf
एथन,ethan
एनएचएस,nhs
एनएमडीसी,nmdc
एनएसए,nsa
एनजीओ,ngo
एनपीएफ,npf
एमएक्स,mx
एमएचआरडी,mhrd
एमएसएन,msn
एमटीएस,mts
एमडीएमए,mdma
एमबीडी,mbd
एमिली,emily
एलविस,elvis
एलाइड,elaid
एलेक्स,alex
एलेक्सिस,elexis
एलेक्सी,alexy
एल्डर,elder
एल्फाबेट,alphabet
एल्विन,elvin
एवलिन,evelyn
एवो,evo
एश्टन,ashton
एसए,sa
एसएफ,sf
एसएम,sm
एसजी,sg
एससीजी,scg
एसिटेट,acidate
एसीएफ,acf
एसोसिएशनों,associationon
एस्थर,esther
एस्थेटिक्स,asthetics
एैसी,aisi
ऐक्टर्स,actors
ऐक्टिवेशन,activation
ऐज,edge
ऐलन,allen
ऐली,elli
ऑकलैंड,oakland
ऑडियो,audio
ऑब्जेक्ट,object
ऑब्जेक्ट्स,objects
ऑस्कर,oscar
ऑस्कर्स,oscars
ओंठ,onth
ओएसिस,oasis
ओछी,ochhi
ओजोन,ozone
ओझल,ozal
ओटो,auto
ओनो,ono
ओपल,opal
ओरलैंडो,orlando
ओरिजिनल,original
ओवरसीज,overseas
ओस,os
ओहायो,ohio
औषधालय,aushdhalay
औेर,aur
कंकड़ों,kankaron
कंचों,kanchon
कंजेशन,conjunction
कंज्यूमर,consumer
कंट्रोल्ड,controlled
कंदमूल,kanmul
कंपकपी,kampkapi
कंबल,kanbal
कक्षक,kakshak
कक्षाएं,kashaen
कचौरी,kachuri
कटवाना,katwana
कटहल,kathal
कटास,katas
कड़कड़डूमा,kadkadduma
कतई,kataii
कतला,katlaa
कदमताल,kadamtal
कनेक्ट,connect
कनेक्टर,connector
कनेक्टिंग,connecting
कनेक्टिविटी,connectivity
कपोल,kpol
कपोलों,kapolon
कब,kab
कमच्छा,kamchcha
कमज़ोरियां,kamzoriyan
कमज़ोरियों,kamzoriyon
कमज़ोरी,kamjori
कमतौल,kamtaul
कमरिया,kamariya
कमलिनी,kamlini
कमिटी,commity
कमी,kami
करकमलों,karkmalon
करा,karaa
करीम,kareem
करै,karai
करोलबाग,karolbaugh
कर्ट,kurt
कर्णफूल,karnful
कर्ता,karta
कर्नाटक,karnatak
कर्व,curve
कलकल,kalkal
कलयुग,kalyug
कल्पना,kalpana
कव्वाल,qawwal
कशिश,kashish
कष्ट,kasht
कसमें,kasmen
कहलाएगी,kahlayegi
कहें,kahen
क़ाज़ी,kazi
कांटा,kanta
कांटी,kanti
कांटे,kante
कांटो,kanto
कांटों,kaanton
कांडला,kandla
काउंटर,counter
काउंटरों,counteron
काग,kag
कागज़ी,kagzi
कागज़ों,kagazon
काट्जू,katju
कात्यायनी,katyayni
कादियान,kadiyana
काबिलियत,kabiliyat
कारखानों,karkhano
कार्डिनलों,kardinalon
कार्तिकी,kartiki
कार्यकर्ता,karyakarta
कालका,kalka
काला,kala
कालिस,kalis
कालोनियां,kaloniyan
कालोनियों,coloniyo
कितनी,kitni
किरण,kiran
किरणों,kirno
किराया,kiraya
किलेबंद,kileband
किसान,kisan
कीकर,kikar
कुंठित,kunthit
कुंडली,kundali
कुकुनूर,kukunur
कुटुंबकम्,kutunmbakam
कुप्रबंधन,kuprabandhan
कुम्हार,kumhaar
कुरकुरा,kurkura
कुरू,kuru
कुर्सियां,kursiyan
कुर्सी,kursi
कुल्ले,kulle
कुशन,kushan
कुसंस्कार,kusanskar
कुसंस्कारों,kusanskaron
कूटा,kutaa
कृतित्व,krtitva
कृतियों,krtiyo
कृषि,krishi
कृष्णम,krishnam
केक,cake
केडर,cadre
केमियो,kemiyo
केलांग,kelang
केस,case
केसों,keson
कैनबरा,canberra
कैनेडी,canedy
कैमिलो,kamilo
कैरेक्टर,character
कैरेक्टर्स,characters
कैरोलिन,carolyn
कैलोरी,calorie
कैशबैक,cashback
कॉइन,coin
कॉन्ग,kong
कॉन्डोम,condom
कोंबो,combo
कोइलवर,koilwar
कोकराझार,kokrazar
कोचों,kochon
कोटली,kotali
कोडेड,coded
कोमा,koma
कोरम,koram
कोल,coal
कोलेस्ट्रोल,cholesterol
कोल्लम,kollum
कोशिकीय,koshikiy
कोस्टार,costar
कौतिक,kautik
कौशिक,kaushik
क्यूबा,cuba
क्यूबिक,kyuubik
क्रांति,kranti
क्रिएटिव,kriyetiv
क्रिकेटरों,cricketeron
क्रीट,krit
क्रुक,cruck
क्रूज़,cruise
क्रूज़र,cruzer
क्रूरतम,kurtam
क्रूस,krus
क्रेज़ी,krezi
क्रेस्ट,krest
क्रॉप्स,crops
क्रोकर,krokar
क्रोमा,croma
क्रोमियम,cromium
क्रोमेट,climate
क्लाइमेट,climate
क्लास,class
क्लासिकल,classical
क्लासी,classy
क्लासीफिकेशन,classification
क्लासेन,clasen
क्लिंजर,cleanser
क्लेग,kleg
क्लेन,klen
क्लेर,cler
क्वांर,qwanr
क्षमादान,kshamadan
क्षमाशील,shmashil
क्षीणता,shinta
क्षेम,shem
खंड,khand
खंडवा,khandwa
खटक,khtak
खट्टा,khatta
खड़गपुर,kharagpur
खड़ा,khada
खण्ड,khand
खता,khata
खतों,khaton
खनिकों,khanikon
खब्बू,khabbu
खमण,khamman
खमरिया,khamriya
खरसिया,kharsiya
खराश,kharash
खर्चीली,kharchili
खलनायकों,khalnayakon
ख़ज़ाना,khajana
ख़्वाजा,khwaja
खांचे,khanche
खात्मे,khatme
खाला,khala
खालों,khalon
खासकर,khasakar
खिलकर,khilkar
खिलौना,khilona
खिसककर,khisakkar
खुदवा,khudwa
खुर्द,khurd
खुर्दा,khurda
खुश,khush
खुशियों,khushiyon
खुसरो,khusaro
खेड़ा,kheda
खेमकरण,khemkaran
खैरा,khaira
खोर,khor
खोला,khola
गंगाबाई,gangabai
गंजेपन,ganjepan
गंडक,gandak
गऊ,gau
गट्टा,gatta
गडकरी,gadkari
गढ़िया,gadhiyan
गणतांत्रिक,gantantrik
गणराज्य,ganarajya
गणराज्यों,ganrajyon
गनबोट,gunbot
गर,gar
गरीब,garib
गरीबों,garibon
गर्जन,garjan
गर्भगृह,garbhgriha
गर्भिणी,garbhini
गर्माहट,garmahat
गर्ल्स,girls
गलतफहमियों,galatfehmiyon
गलतफहमी,galatfami
गलेगी,galegi
गवां,ganva
गाइडेड,guided
गाबा,gaba
गार्टनर,gartner
गार्डनर,gardener
गार्नेट,garnet
गालव,galv
गिड़गिड़ाने,gidgidane
गिरीराज,giriraj
गिरे,gire
गिलास,gilaaas
गीता,geeta
गीले,gile
गुंज,gunj
गुजरा,gujra
गुजारी,gujari
गुणदोष,gundosh
गुनगुनाते,gungunathe
गुप्तकाल,guptkal
गुप्ता,gupta
गुफ्तगू,guftgu
गुरचरण,gurcharan
गुरुजन,gurujan
गुर्दा,gurda
गुल्ली,gulli
गूजरी,gujari
गेना,gena
गेल,gel
गेस,guess
गोइंग,going
गोएथे,goyethe
गोगुंदा,gogunda
गोमतीनगर,gomtinagar
गोम्बे,gombe
गोर,gaur
गोरों,goroun
गोष्ठी,goshthi
गौहर,gohar
ग्यारह,gyarah
ग्रंथ,granth
ग्रंथो,grantho
ग्रंथों,grantho
ग्राफ्ट,grapht
ग्रामीण,gramin
ग्रामीणों,gramino
ग्रामोदय,gramoday
ग्रिम,grimm
ग्रैन,gran
ग्लेशियर,glacier
ग्लेशियरों,gleshiyaron
घनघोर,ghanghor
घमासान,ghamasan
घरवाले,gharwale
घराट,gharat
घाटी,ghati
घिस,ghis
घिसें,ghisen
घुटनो,ghutno
घुड़,ghud
घुमक्कड़,ghumakkar
घुमाती,ghumati
घुसपैठ,ghuspaith
घुसपैठियों,ghusapaithiyo
घूंसे,ghunse
घूमती,ghumti
घूमते,ghumte
घूमाने,ghumane
घेरना,ghernaa
